Age Ma	d18O adj	d18O 5pt	tempC	tempC_5pt
0.436	5.21	4.86	-2.102826	-1.091256
0.436	4.57	4.824	-0.227113999999999	-0.985263359999998
0.436	4.9	4.882	-1.2086	-1.15585064
0.438	4.68	4.818	-0.557663999999999	-0.967562639999998
0.44	5.05	4.758	-1.64465	-0.790001039999999
0.44	4.89	4.716	-1.179306	-0.66510816
0.441	4.27	4.746	0.691606000000003	-0.75436776
0.4417	4.69	4.678	-0.587546000000001	-0.551684239999997
0.444	4.83	4.586	-1.002954	-0.275404559999998
0.444	4.71	4.658	-0.647226	-0.491825039999998
0.445	4.43	4.68	0.198486	-0.557663999999999
0.4453	4.63	4.626	-0.407833999999999	-0.395817359999999
0.447	4.8	4.534	-0.914399999999997	-0.118198159999998
0.448	4.56	4.65	-0.196895999999997	-0.46785
0.45	4.25	4.64	0.753750000000001	-0.437855999999998
0.452	5.01	4.534	-1.528986	-0.118198159999998
0.452	4.58	4.444	-0.257303999999999	0.155679040000003
0.4526	4.27	4.376	0.691606000000003	0.36411264
0.454	4.11	4.336	1.191894	0.48732544
0.4545	3.91	4.342	1.827334	0.468814960000003
0.455	4.81	4.294	-0.943945999999996	0.617181040000002
0.456	4.61	4.302	-0.347706	0.592408560000004
0.4577	4.03	4.428	1.444726	0.204605760000002
0.46	4.15	4.42	1.06615	0.229096
0.46	4.54	4.372	-0.136375999999998	0.376413760000002
0.461	4.77	4.406	-0.825593999999996	0.271997040000002
0.4613	4.37	4.468	0.382566	0.0824233600000017
0.464	4.2	4.446	0.909600000000002	0.149568240000001
0.464	4.46	4.332	0.106824	0.499671360000002
0.4645	4.43	4.334	0.198486	0.493497840000001
0.465	4.2	4.36	0.909600000000002	0.413343999999999
0.467	4.38	4.266	0.351816000000001	0.704025840000002
0.468	4.33	4.302	0.505846	0.592408560000004
0.4686	3.99	4.396	1.571814	0.302674240000001
0.469	4.61	4.504	-0.347706	-0.027157759999997
0.471	4.67	4.482	-0.527753999999999	0.0397653600000001
0.471	4.92	4.436	-1.267104	0.180133440000001
0.472	4.22	4.342	0.847176000000003	0.468814960000003
0.4722	3.76	4.178	2.311264	0.978395760000001
0.474	4.14	3.898	1.097544	1.86581656
0.475	3.85	3.894	2.02015	1.87865304
0.4759	3.52	3.946	3.098656	1.71212824
0.476	4.2	3.884	0.909600000000002	1.91076384
0.478	4.02	3.996	1.476456	1.55272224
0.4795	3.83	4.114	2.084646	1.17929944
0.48	4.41	4.138	0.259733999999999	1.10382616
0.48	4.11	4.118	1.191894	1.16670936
0.481	4.32	4.142	0.536736	1.09126296
0.482	3.92	3.986	1.795296	1.58454744
0.483	3.95	3.932	1.69935	1.75688736
0.483	3.63	3.826	2.735766	2.09755864
0.484	3.84	3.814	2.052384	2.13632344
0.4849	3.79	3.848	2.213974	2.02659456
0.485	3.86	3.876	1.987944	1.93647264
0.485	4.12	3.764	1.160416	2.29827744
0.487	3.77	3.748	2.278806	2.35025056
0.488	3.28	3.666	3.902176	2.61773784
0.488	3.71	3.636	2.473974	2.71606944
0.49	3.45	3.596	3.33135	2.84757024
0.4913	3.97	3.666	1.635526	2.61773784
0.492	3.57	3.714	2.933286	2.46093144
0.492	3.63	3.732	2.735766	2.40229536
0.493	3.95	3.67	1.69935	2.604646
0.495	3.54	3.684	3.032424	2.55885984
0.496	3.66	3.806	2.637384	2.16218904
